,dDELM
0,0.0
1,0.0
2,1.5510515540666279
3,-0.5021296960995425
4,1.5999999999999996
5,1.7896
6,-1.4500000000000002
7,1.6
8,-1.4500000000000004
9,1.6000000000000008
10,1.7896
11,-1.6000000000000005
12,0.40000000000000036
13,0.5896000000000008
14,-1.6000000000000005
15,-1.7896000000000005
16,1.4500000000000002
17,-1.6
18,-1.7896
19,1.6000000000000005
20,1.7896000000000005
21,-0.40000000000000036
22,1.6000000000000005
23,0.7395999999999998
24,-0.5499999999999998
25,-1.7896
26,-1.859399999999999
27,-1.8850999999999996
28,1.6000000000000005
29,1.7896
30,1.8594
31,-1.4499999999999988
32,-1.6396000000000002
33,-0.6593999999999997
34,0.5499999999999997
35,1.7896
36,-1.5999999999999996
37,1.4500000000000002
38,-1.6000000000000005
39,-1.7896
40,-0.8094000000000001
41,0.5499999999999996
42,1.7896000000000003
43,1.8594000000000004
44,-1.4500000000000006
45,0.5499999999999998
46,-1.5999999999999996
47,1.4500000000000002
48,-1.6000000000000005
49,1.4500000000000002
50,1.6396000000000002
51,1.7093999999999991
52,1.8850999999999987
53,-1.4499999999999984
54,1.5999999999999996
55,-0.40000000000000124
56,1.6000000000000005
57,-0.40000000000000036
58,1.5999999999999996
59,-1.4499999999999993
60,-0.589599999999999
61,1.5999999999999996
62,1.7896000000000019
63,1.8593999999999973
64,-1.5999999999999996
65,-1.7895999999999983
66,-1.8594
67,-1.8850999999999996
68,1.5999999999999988
69,0.7396000000000003
70,-1.4499999999999993
71,-0.5895999999999999
72,1.5999999999999996
73,-1.4499999999999993
74,-1.6396000000000006
75,-0.6594000000000002
76,-1.8851
77,-1.894499999999999
78,-1.8980000000000015
79,-0.8492999999999995
80,-1.7497000000000007
81,1.5999999999999996
82,1.7896
83,-0.3999999999999999
84,-1.6396000000000002
85,0.5500000000000007
86,1.7896
87,0.8094
88,-1.5999999999999996
89,-1.7896
90,1.4499999999999993
91,0.719407769003753
92,0.851391704554525
93,-1.5217994735582803
94,1.4499999999999995
95,-1.6000000000000003
96,-1.7896000000000005
97,-1.859399999999999
98,-1.7350999999999983
99,1.5999999999999996
100,-1.4499999999999993
101,1.5999999999999996
102,1.7895999999999983
103,-0.756682885326093
104,1.5566828853260937
105,0.7395999999999989
106,0.6593999999999998
107,-1.600000000000001
108,-1.7896
109,-1.8594000000000008
110,0.8000000000000007
111,1.639599999999998
112,1.7093999999999983
113,-1.600000000000001
114,-1.7896
115,0.3999999999999977
116,1.6395999999999988
117,0.6594000000000015
118,1.8850999999999996
119,0.8445
120,0.847999999999999
121,1.8993000000000002
122,0.6997
123,-1.5999999999999979
124,-0.7396000000000011
125,-1.8594000000000008
126,-1.8851000000000013
127,1.5999999999999996
128,-1.4499999999999993
129,0.5500000000000012
130,1.7896
131,-0.399999999999999
132,1.5986918720587298
133,-1.5986918720587298
134,-1.7896
135,1.4499999999999993
136,-1.6000000000000014
137,-0.7396000000000011
138,1.6000000000000032
139,0.7395999999999994
140,0.8094000000000001
141,1.723998194677094
142,-1.438898194677094
143,1.6000000000000014
144,0.4700990561272001
145,-1.5804990561272056
146,0.5500000000000007
147,-1.4499999999999995
148,1.6000000000000016
149,1.7896
150,0.659400000000002
151,-1.6000000000000019
152,-0.3395999999999937
153,0.3999999999999986
154,0.5896000000000008
155,-1.6000000000000014
156,1.4499999999999993
157,-1.6000000000000014
158,-1.7896000000000005
159,1.4499999999999997
160,-1.6000000000000014
161,-1.7896
162,0.5500000000000007
163,1.7896
164,-0.399999999999999
165,-1.6395999999999975
166,0.5500000000000007
167,1.7896
168,1.7093999999999987
169,0.6850999999999986
170,-0.5500000000000007
171,0.39999999999999863
172,0.5896000000000008
173,1.8594000000000008
174,1.8851000000000013
175,0.8445
176,-1.4499999999999993
177,1.6000000000000014
178,1.639599999999998
179,-1.6000000000000014
180,-0.7395999999999994
181,1.4499999999999993
182,-0.5500000000000007
183,-1.7896
184,1.6000000000000014
185,1.7895999999999992
186,0.809400000000001
187,1.8851000000000013
188,-1.6000000000000014
189,0.40000000000000036
190,-1.6000000000000032
191,0.3999999999999986
192,0.5896000000000008
193,-1.6000000000000014
194,-1.7895999999999992
195,-1.8594000000000017
196,0.5500000000000003
197,1.7896000000000014
198,0.8093999999999992
199,-0.3999999999999986
200,1.6000000000000014
201,1.639599999999998
202,-0.5500000000000007
203,-1.7896
204,-1.8594000000000008
205,-1.8851000000000018
206,1.6000000000000019
207,-1.4499999999999988
208,-0.5896000000000012
209,1.5168275238626947
210,-1.4650222009518465
211,-1.7476800829544565
212,-1.814439749009594
213,1.4443101752146994
214,-1.4604131769960915
215,-1.7801878599345997
216,0.4180053707691944
217,1.6395999999999975
218,0.6593999999999979
219,-1.6000000000000014
220,-1.7896
221,0.3999999999999986
222,-1.6000000000000014
223,0.3999999999999986
224,1.639599999999998
225,-1.600000000000001
226,-0.7395999999999998
227,0.3999999999999986
228,-1.6000000000000014
229,-1.7896
230,1.6000000000000014
231,-0.3999999999999986
232,-1.639599999999998
233,-0.6594000000000015
234,0.5500000000000007
235,1.7896
236,0.8094000000000001
237,0.8351000000000006
238,-1.6000000000000014
239,0.3999999999999986
240,-0.5499999999999972
241,-1.7896
242,0.3999999999999986
243,0.5895999999999972
244,-1.6000000000000014
245,-1.7896
246,-1.7093999999999987
247,0.5500000000000007
248,1.7896
249,1.8594000000000008
250,1.8851000000000013
251,0.6944999999999979
252,1.7479999999999976
253,-1.6000000000000014
254,0.3999999999999986
255,-1.6000000000000014
256,0.3999999999999986
257,1.7896
258,0.8093999999999997
259,-1.4499999999999988
260,1.6000000000000014
261,1.7895999999999965
262,-1.6000000000000014
263,0.3999999999999986
264,-1.6000000000000014
265,-1.7896
266,-0.8093999999999966
267,0.5500000000000007
268,0.7395999999999994
269,-0.3999999999999986
270,1.6000000000000014
271,-0.3999999999999986
272,-1.639599999999998
273,1.5999999999999979
274,1.7896
275,-1.6000000000000014
276,1.4500000000000028
277,-1.6000000000000014
278,0.3999999999999986
279,1.639600000000002
280,1.7094000000000018
281,-1.4500000000000028
282,1.6000000000000014
283,0.7395999999999958
284,-0.3999999999999986
285,-0.5895999999999972
286,1.6000000000000014
287,1.7896
288,1.8594000000000008
289,0.0
290,-1.584372026713142
291,-0.6404436205912294
292,1.4847554768887834
293,1.6396000000000002
294,-1.6000000000000003
295,-1.7896
296,1.4500000000000002
297,-1.6
298,0.4
299,-1.6
300,-0.7395999999999998
301,1.6
302,0.7395999999999998
303,1.8594000000000002
304,1.8851000000000002
305,-1.6000000000000005
306,1.4500000000000006
307,-1.6000000000000005
308,-1.7895999999999999
309,-0.8094000000000001
310,1.6000000000000003
311,1.7896
312,-0.40000000000000013
313,1.5999999999999999
314,1.7896
315,-0.5499999999999998
316,-1.7896
317,1.4499999999999993
318,-1.5999999999999992
319,-1.7896
